customer_id,age,gender,city,city_tier,occupation,income_bracket,education,marital_status,preferred_language,preferred_channel,avg_session_duration_mins,monthly_visits,cart_abandonment_rate,avg_order_value,total_purchases,loyalty_points,customer_segment,last_active_days_ago,nps_score
CU-MU-1000,24,Female,Mumbai,Tier 1,Student,Low,Graduate,Single,Hindi,Instagram,18.4,14,0.62,1240,8,3450,Budget Shopper,2,7
CU-MU-1001,34,Male,Pune,Tier 1,Software Engineer,High,Post Graduate,Married,English,Google,22.7,9,0.31,4780,23,12340,Premium Shopper,1,9
CU-MU-1002,28,Female,Nagpur,Tier 2,Teacher,Mid,Graduate,Single,Marathi,Facebook,14.2,6,0.54,2340,11,5670,Regular Shopper,5,6
CU-MU-1003,42,Male,Mumbai,Tier 1,Business Owner,High,Post Graduate,Married,Hindi,WhatsApp,11.8,4,0.28,8920,34,23450,Premium Shopper,3,8
CU-MU-1004,19,Female,Nashik,Tier 2,Student,Low,Undergraduate,Single,Marathi,Instagram,26.3,18,0.71,780,4,1230,Budget Shopper,1,6
CU-MU-1005,31,Male,Mumbai,Tier 1,Marketing Manager,Mid,Graduate,Married,English,YouTube,19.6,11,0.43,3120,17,8900,Regular Shopper,4,7
CU-MU-1006,27,Female,Aurangabad,Tier 2,Nurse,Mid,Graduate,Single,Hindi,Facebook,16.8,8,0.58,1890,9,4320,Budget Shopper,2,5
CU-MU-1007,45,Male,Pune,Tier 1,Doctor,High,Post Graduate,Married,English,Email,9.4,3,0.22,11240,41,34560,Premium Shopper,7,9
CU-MU-1008,23,Female,Mumbai,Tier 1,Student,Low,Undergraduate,Single,Hindi,Instagram,31.2,22,0.78,640,3,890,Budget Shopper,1,5
CU-MU-1009,38,Male,Solapur,Tier 2,Accountant,Mid,Graduate,Married,Marathi,WhatsApp,13.4,7,0.46,2670,14,6780,Regular Shopper,6,7
CU-MU-1010,29,Female,Mumbai,Tier 1,UX Designer,High,Post Graduate,Single,English,Instagram,24.5,13,0.35,4230,19,10230,Premium Shopper,2,8
CU-MU-1011,52,Male,Kolhapur,Tier 2,Retired,Low,Graduate,Married,Marathi,Facebook,8.7,3,0.34,1560,12,4560,Regular Shopper,9,6
CU-MU-1012,26,Female,Pune,Tier 1,HR Executive,Mid,Graduate,Single,Hindi,YouTube,20.3,12,0.49,2890,13,6230,Regular Shopper,3,7
CU-MU-1013,33,Male,Mumbai,Tier 1,Data Analyst,High,Post Graduate,Married,English,Google,17.9,8,0.27,5670,28,15670,Premium Shopper,1,9
CU-MU-1014,21,Female,Jalgaon,Tier 3,Student,Low,Undergraduate,Single,Hindi,Instagram,28.6,19,0.74,560,2,670,Budget Shopper,2,4
CU-MU-1015,40,Male,Pune,Tier 1,Operations Manager,High,Post Graduate,Married,English,Email,12.3,5,0.24,7890,36,21340,Premium Shopper,4,8
CU-MU-1016,25,Female,Mumbai,Tier 1,Content Creator,Mid,Graduate,Single,Hindi,Instagram,33.7,24,0.67,1450,7,3120,Budget Shopper,1,6
CU-MU-1017,47,Male,Nagpur,Tier 2,Pharmacist,Mid,Graduate,Married,Marathi,WhatsApp,10.8,4,0.38,3450,18,9870,Regular Shopper,5,7
